group,office,sales.target,23.sales,performance,growth.rate,fc.proportion,sales.fc
1그룹,대전둔산,912000,436061,48,61,54,9299
1그룹,청주,888000,358132,40,14,62,11166
1그룹,대전유성,1113000,447487,40,4,56,8029
1그룹,대전,1040000,416980,40,14,87,9747
1그룹,서청주,963000,339987,35,-8,57,7716
2그룹,세종,548000,303789,55,47,51,15589
2그룹,논산,580000,285236,49,17,66,10368
2그룹,충주,538000,230291,43,4,46,6563
2그룹,아산,723000,304810,42,10,71,8305
2그룹,서대전,576000,206258,36,10,55,6667
2그룹,천안,560000,192350,34,3,52,5241
3그룹,공주,420000,215311,51,30,63,7384
3그룹,동천안,380000,179131,47,42,30,5946
3그룹,서산,461000,202352,44,0,42,4464
3그룹,제천,361000,137033,38,-22,32,3056
3그룹,대전대덕,519000,189506,37,2,79,8773
4그룹,금산,377000,182726,49,10,67,20253
4그룹,진천,263000,118909,45,-9,39,5142
4그룹,예산,426000,187258,44,-6,30,7989
4그룹,당진,485000,192765,40,24,68,10025
4그룹,홍성,490000,163977,34,-17,52,5039
4그룹,보령,249000,81004,33,-20,36,2676
5그룹,부여,192000,121541,63,-7,1,586
5그룹,태안,191000,99053,52,25,43,21178
5그룹,괴산,219000,109330,50,-3,21,3288
5그룹,영동,194000,71291,37,-11,32,3771
5그룹,음성,234000,70873,30,-27,39,3031
6그룹,단양,89000,64302,72,1,1,308
6그룹,서천,160000,113985,71,10,1,997
6그룹,보은,151000,106685,71,-4,2,2283
6그룹,옥천,149000,96334,65,80,10,4702
6그룹,청양,129000,65108,51,-13,17,2702
